Date,SalesPerson,Sales,Total Excluding Tax,Total Including Tax,Profit
04/01/2013,Kayla Woodcock,15,19901.1,22886.27,10691.7
04/01/2013,Lily Code,12,7127,8196.05,4055
04/01/2013,Sophia Hinton,20,13548.75,15581.07,6813.5
04/01/2013,Taj Shand,16,8302.45,9547.82,4432
05/01/2013,Amy Trefl,10,1911,2197.65,525.5
05/01/2013,Anthony Grosse,5,3744.5,4306.18,1649
05/01/2013,Archer Lamble,14,5115.2,5882.48,2996.7
05/01/2013,Hudson Hollinworth,24,15008.45,17259.73,7315.1
05/01/2013,Hudson Onslow,12,4256,4894.4,1445.5
05/01/2013,Jack Potter,15,12169,13994.35,6356
05/01/2013,Kayla Woodcock,20,15465.9,17785.79,8162.9
05/01/2013,Lily Code,5,2147.8,2469.97,1143.4
05/01/2013,Sophia Hinton,9,9249.2,10636.58,4120
07/01/2013,Amy Trefl,33,28781.8,33099.07,17255.2
07/01/2013,Anthony Grosse,35,26113.95,30031.05,12475.45
07/01/2013,Archer Lamble,43,29608.7,34050.01,17309.9
07/01/2013,Hudson Hollinworth,20,12857.5,14786.13,5353
07/01/2013,Hudson Onslow,30,21921.05,25209.21,11322.05
07/01/2013,Jack Potter,41,23837.35,27412.96,11987.7
07/01/2013,Kayla Woodcock,24,17609.7,20251.16,8433.7
07/01/2013,Lily Code,31,25929,29818.35,10948.4
07/01/2013,Sophia Hinton,30,18747.65,21559.8,9835.45
07/01/2013,Taj Shand,43,46381.3,53338.5,27347.5
08/01/2013,Amy Trefl,1,2160,2484,1320
08/01/2013,Anthony Grosse,11,12936.15,14876.58,8708
08/01/2013,Archer Lamble,9,8754,10067.1,6346
08/01/2013,Hudson Hollinworth,8,4846,5572.9,2586.75
08/01/2013,Hudson Onslow,3,319,366.85,205.5
08/01/2013,Jack Potter,13,10902,12537.3,4986
08/01/2013,Kayla Woodcock,28,23620.3,27163.35,13297
08/01/2013,Lily Code,13,7376.2,8482.63,3443.6
08/01/2013,Sophia Hinton,21,8961,10305.15,5111.8
08/01/2013,Taj Shand,19,7248.65,8335.95,3566.65
09/01/2013,Amy Trefl,15,7480.4,8602.46,4126.8
09/01/2013,Anthony Grosse,30,21059.5,24218.43,10005.9
09/01/2013,Archer Lamble,10,19758,22721.7,8398
09/01/2013,Hudson Hollinworth,10,9793.2,11262.18,4347.8
09/01/2013,Hudson Onslow,22,19232.5,22117.38,13586.6
09/01/2013,Jack Potter,19,15652.7,18000.61,7464.2
09/01/2013,Kayla Woodcock,14,8995.8,10345.17,3998.8
09/01/2013,Lily Code,18,7269.1,8359.46,3877.85
09/01/2013,Sophia Hinton,35,24878.4,28610.16,12403.7
09/01/2013,Taj Shand,18,7268,8358.2,2397
10/01/2013,Amy Trefl,10,7879.4,9061.31,2930.8
10/01/2013,Anthony Grosse,14,7517.2,8644.78,3701
10/01/2013,Archer Lamble,32,22870.85,26301.49,11925.45
10/01/2013,Hudson Hollinworth,44,22757.65,26171.3,11555
10/01/2013,Hudson Onslow,24,20713.2,23820.18,14827.6
10/01/2013,Jack Potter,38,25523.55,29352.09,12827.6
10/01/2013,Kayla Woodcock,20,14391.35,16550.05,5649.35
10/01/2013,Lily Code,26,14636.4,16831.86,5534.1
10/01/2013,Sophia Hinton,15,22327.8,25676.97,9852.45
10/01/2013,Taj Shand,35,11154.7,12827.91,5156.9
11/01/2013,Amy Trefl,27,20611.2,23702.88,10874.1
11/01/2013,Anthony Grosse,15,9304.2,10699.83,4967.5
11/01/2013,Archer Lamble,21,41829.5,48103.93,19990.5
11/01/2013,Hudson Hollinworth,39,30037.8,34543.48,13847.7
11/01/2013,Hudson Onslow,42,40145.55,46167.39,19324.3
11/01/2013,Jack Potter,21,11596.75,13336.26,6170.4
11/01/2013,Kayla Woodcock,35,16586.45,19074.42,8440.4
11/01/2013,Lily Code,23,13519.95,15547.95,6997.9
11/01/2013,Sophia Hinton,24,16494.6,18968.79,9399.3
11/01/2013,Taj Shand,27,16632,19126.8,8966.5
12/01/2013,Amy Trefl,24,22462.55,25831.93,11057.45
12/01/2013,Anthony Grosse,5,704.6,810.29,367.3
12/01/2013,Archer Lamble,11,11264.45,12954.12,4877.7
12/01/2013,Hudson Hollinworth,6,465,534.75,239.5
12/01/2013,Hudson Onslow,10,13786,15853.9,7258.5
12/01/2013,Jack Potter,5,3438,3953.7,1801
12/01/2013,Kayla Woodcock,4,2352,2704.8,1428
12/01/2013,Lily Code,2,930,1069.5,431.5
12/01/2013,Sophia Hinton,10,17748,20410.2,7537.5
12/01/2013,Taj Shand,4,13008.4,14959.66,5531.2
14/01/2013,Amy Trefl,24,15038,17293.7,7836.5
14/01/2013,Anthony Grosse,23,21497.5,24722.13,11004.5
14/01/2013,Archer Lamble,15,9799.8,11269.77,4804.2
14/01/2013,Hudson Hollinworth,14,7904.25,9089.89,2962.75
14/01/2013,Hudson Onslow,22,22569.5,25954.93,10300
14/01/2013,Jack Potter,27,14697.8,16902.47,5263.7
14/01/2013,Kayla Woodcock,25,18144.2,20865.83,9564.5
14/01/2013,Lily Code,30,32086.3,36899.25,13640.05
14/01/2013,Sophia Hinton,24,9874.8,11356.02,5326.4
14/01/2013,Taj Shand,42,24734.35,28444.51,12585.6
15/01/2013,Amy Trefl,24,32935,37875.25,16172.5
15/01/2013,Anthony Grosse,33,18974.6,21820.8,8547.4
15/01/2013,Archer Lamble,14,6579,7565.85,3875.5
15/01/2013,Hudson Hollinworth,31,15196.8,17476.32,6983.4
15/01/2013,Hudson Onslow,37,50533.35,58113.35,27253.6
15/01/2013,Jack Potter,20,21375.4,24581.71,10710.8
15/01/2013,Kayla Woodcock,46,59680.05,68632.06,27461.9
15/01/2013,Lily Code,37,26819.4,30842.31,14536
15/01/2013,Sophia Hinton,43,27871.45,32052.17,11982.2
15/01/2013,Taj Shand,24,10856,12484.4,5904.6
16/01/2013,Amy Trefl,8,8053,9260.95,4229.5
16/01/2013,Anthony Grosse,7,1332,1531.8,657
16/01/2013,Archer Lamble,8,11724,13482.6,4971
16/01/2013,Hudson Hollinworth,22,12644.6,14541.3,5045.3
16/01/2013,Hudson Onslow,4,806,926.9,443.5
16/01/2013,Jack Potter,15,6194.5,7123.68,3651.75
16/01/2013,Kayla Woodcock,12,5470.3,6290.85,2613.3
16/01/2013,Lily Code,5,3943,4534.45,2150
16/01/2013,Sophia Hinton,22,15632.6,17977.49,7857.1
16/01/2013,Taj Shand,22,12990,14938.5,6439
17/01/2013,Amy Trefl,4,2274,2615.1,1142.5
17/01/2013,Anthony Grosse,16,4819.7,5542.66,2893.1
17/01/2013,Archer Lamble,27,19253.1,22141.07,7928.1
17/01/2013,Hudson Hollinworth,21,19666.5,22616.48,9082
17/01/2013,Hudson Onslow,24,16117.7,18535.36,8314.2
17/01/2013,Jack Potter,14,8779.6,10096.54,3658.5
17/01/2013,Kayla Woodcock,25,19366.2,22271.13,9945.3
17/01/2013,Lily Code,19,16124.8,18543.52,7511.9
17/01/2013,Sophia Hinton,12,6759.6,7773.54,3300.1
17/01/2013,Taj Shand,17,9714.85,11172.08,4893.05
18/01/2013,Amy Trefl,45,19527.55,22456.68,10511.4
18/01/2013,Anthony Grosse,13,10913.8,12550.87,6297.3
18/01/2013,Archer Lamble,34,21802.25,25072.59,11022
18/01/2013,Hudson Hollinworth,18,14141.6,16262.84,6792.2
18/01/2013,Hudson Onslow,30,12899.05,14833.91,6194.05
18/01/2013,Jack Potter,25,14918,17155.7,5508
18/01/2013,Kayla Woodcock,25,22106,25421.9,11040.2
18/01/2013,Lily Code,13,1868.75,2149.07,977.5
18/01/2013,Sophia Hinton,31,21684.75,24937.47,11888.5
18/01/2013,Taj Shand,27,12856.2,14784.63,6004.6
19/01/2013,Amy Trefl,2,333,382.95,248.5
19/01/2013,Anthony Grosse,3,2212.5,2544.38,1231
19/01/2013,Archer Lamble,5,2583,2970.45,1428
19/01/2013,Hudson Hollinworth,5,6337.2,7287.78,3310.2
19/01/2013,Hudson Onslow,15,6789,7807.35,3836.5
19/01/2013,Jack Potter,15,5288,6081.2,3087
19/01/2013,Kayla Woodcock,18,15795.8,18165.17,7248.6
19/01/2013,Lily Code,11,5977,6873.55,2493
19/01/2013,Sophia Hinton,9,4057.5,4666.13,2324
19/01/2013,Taj Shand,8,3338,3838.7,1435.5
21/01/2013,Amy Trefl,5,14750,16962.5,6188
21/01/2013,Anthony Grosse,23,29088.5,33451.78,14632.5
21/01/2013,Archer Lamble,13,6887.1,7920.17,3084.2
21/01/2013,Hudson Hollinworth,17,10133.8,11653.87,5305.4
21/01/2013,Hudson Onslow,22,17242.4,19828.76,9292.6
21/01/2013,Kayla Woodcock,9,6048,6955.2,2837.5
21/01/2013,Lily Code,7,2191,2519.65,1179.5
21/01/2013,Sophia Hinton,22,19331.25,22230.94,10098
21/01/2013,Taj Shand,11,3379.9,3886.89,1725.5
22/01/2013,Amy Trefl,14,20416,23478.4,8043.9
22/01/2013,Anthony Grosse,6,6914.6,7951.79,3350.3
22/01/2013,Archer Lamble,27,16648.6,19145.89,8711.6
22/01/2013,Hudson Hollinworth,13,4042.55,4648.93,2415.05
22/01/2013,Hudson Onslow,19,21705.65,24961.5,10219.1
22/01/2013,Jack Potter,14,7596.5,8735.98,3467.5
22/01/2013,Kayla Woodcock,16,17173.6,19749.64,9019.9
22/01/2013,Lily Code,8,14518,16695.7,7653
22/01/2013,Sophia Hinton,23,12417.6,14280.24,6227.2
22/01/2013,Taj Shand,12,3336,3836.4,1776.5
23/01/2013,Amy Trefl,27,15916.85,18304.38,8242.35
23/01/2013,Anthony Grosse,34,32799.25,37719.14,16939.25
23/01/2013,Archer Lamble,28,17022.2,19575.53,8994
23/01/2013,Hudson Hollinworth,31,10530.5,12110.08,4564.3
23/01/2013,Hudson Onslow,23,26907.5,30943.63,12904.25
23/01/2013,Jack Potter,16,11642.75,13389.17,5945.75
23/01/2013,Kayla Woodcock,8,2454,2822.1,1168.5
23/01/2013,Lily Code,19,10569.2,12154.58,5026.4
23/01/2013,Sophia Hinton,22,24542.5,28223.88,11893.05
23/01/2013,Taj Shand,16,15431.4,17746.11,7727.7
24/01/2013,Amy Trefl,18,9182.65,10560.06,4766.2
24/01/2013,Anthony Grosse,7,8880.4,10212.46,4195.7
24/01/2013,Archer Lamble,17,18586.6,21374.59,11957.4
24/01/2013,Hudson Hollinworth,10,7351.8,8454.57,3872.3
24/01/2013,Hudson Onslow,18,12027.2,13831.28,6606
24/01/2013,Jack Potter,13,14864.8,17094.52,10036
24/01/2013,Kayla Woodcock,7,12370,14225.5,6028
24/01/2013,Lily Code,16,9797.6,11267.24,4425.4
24/01/2013,Sophia Hinton,8,5991.25,6889.94,3241
24/01/2013,Taj Shand,16,11204.2,12884.83,5669.5
25/01/2013,Amy Trefl,37,22761.15,26175.33,11248.8
25/01/2013,Anthony Grosse,19,20316.2,23363.63,8139.5
25/01/2013,Archer Lamble,20,7009,8060.36,3291.5
25/01/2013,Hudson Hollinworth,22,25766,29630.9,13511.5
25/01/2013,Hudson Onslow,27,23878,27459.71,12294.5
25/01/2013,Jack Potter,16,15534.3,17864.45,7823.4
25/01/2013,Kayla Woodcock,27,8437.2,9702.78,4392.1
25/01/2013,Lily Code,21,13779,15845.85,6685.8
25/01/2013,Sophia Hinton,31,32864.8,37794.52,16332.6
25/01/2013,Taj Shand,36,25444.7,29261.41,13251.8
26/01/2013,Amy Trefl,7,3395,3904.25,1894.5
26/01/2013,Anthony Grosse,21,14772,16987.8,7896.5
26/01/2013,Archer Lamble,11,6461.8,7431.07,3678.3
26/01/2013,Hudson Hollinworth,7,1449,1666.35,428
26/01/2013,Hudson Onslow,16,28380,32637,15321.5
26/01/2013,Jack Potter,21,10850.2,12477.73,5275.7
26/01/2013,Kayla Woodcock,11,7670.4,8820.96,4101.2
26/01/2013,Lily Code,11,9845.5,11322.33,4986.8
26/01/2013,Sophia Hinton,5,5293.5,6087.53,4094.75
26/01/2013,Taj Shand,11,7446.25,8563.19,2717.5
28/01/2013,Amy Trefl,16,15765,18129.75,7220.75
28/01/2013,Anthony Grosse,20,15930,18319.5,8283.5
28/01/2013,Archer Lamble,21,10674,12275.1,5333.5
28/01/2013,Hudson Hollinworth,29,24590,28278.51,11126.3
28/01/2013,Hudson Onslow,21,21397.9,24607.59,9485.4
28/01/2013,Jack Potter,22,16715.35,19222.65,9830.55
28/01/2013,Kayla Woodcock,27,26467.6,30437.74,16946.5
28/01/2013,Lily Code,22,15478.45,17800.22,9192.45
28/01/2013,Sophia Hinton,14,7860.8,9039.92,3767.4
28/01/2013,Taj Shand,23,7163.8,8238.37,3821.2
29/01/2013,Amy Trefl,47,22416.95,25779.5,12047.1
29/01/2013,Anthony Grosse,25,11615.4,13357.71,5452.7
29/01/2013,Archer Lamble,26,15751.6,18114.34,8176.1
29/01/2013,Hudson Hollinworth,48,26508.7,30485.02,12853.1
29/01/2013,Hudson Onslow,28,17058.25,19616.99,8461.25
29/01/2013,Jack Potter,18,34973.6,40219.64,16643.8
29/01/2013,Kayla Woodcock,29,18307.4,21053.51,9273.4
29/01/2013,Lily Code,8,4548,5230.2,2639
29/01/2013,Sophia Hinton,13,5831.65,6706.4,2631
29/01/2013,Taj Shand,40,43262.6,49751.99,20369.4
30/01/2013,Amy Trefl,33,11080.6,12742.69,6358.3
30/01/2013,Anthony Grosse,25,22054.4,25362.56,10247.8
30/01/2013,Archer Lamble,12,6979.8,8026.77,3796.5
30/01/2013,Hudson Hollinworth,23,7599.8,8739.77,3803.2
30/01/2013,Hudson Onslow,36,27777,31943.55,12990
30/01/2013,Jack Potter,9,18272.5,21013.38,8268.5
30/01/2013,Kayla Woodcock,29,7988.6,9186.89,4475.4
30/01/2013,Lily Code,38,40823.85,46947.43,19412.6
30/01/2013,Sophia Hinton,34,18672.6,21473.49,9394.6
30/01/2013,Taj Shand,23,9391.2,10799.88,5091.2
31/01/2013,Amy Trefl,12,7089,8152.35,3745
31/01/2013,Anthony Grosse,24,4063.5,4673.03,2334
31/01/2013,Archer Lamble,26,14475.1,16646.37,6694.1
31/01/2013,Hudson Hollinworth,32,24829.05,28553.41,12267.05
31/01/2013,Hudson Onslow,30,27280.85,31372.98,12589.1
31/01/2013,Jack Potter,35,21028,24182.2,10394.2
31/01/2013,Kayla Woodcock,21,4017.15,4619.72,1777.15
31/01/2013,Lily Code,15,4528,5207.2,2553.2
31/01/2013,Sophia Hinton,20,10086.25,11599.19,5500.5
31/01/2013,Taj Shand,18,8165.6,9390.44,3352.7
01/02/2013,Amy Trefl,32,39342.1,45243.43,20680.6
01/02/2013,Anthony Grosse,4,496,570.4,311
01/02/2013,Archer Lamble,35,19271.35,22162.06,9486.1
01/02/2013,Hudson Hollinworth,20,4278.3,4920.06,2279.1
01/02/2013,Hudson Onslow,15,12577,14463.55,6403.3
01/02/2013,Jack Potter,12,17705,20360.75,8976
01/02/2013,Kayla Woodcock,18,6827.6,7851.74,3060.9
01/02/2013,Lily Code,31,33244.05,38230.67,15816.3
01/02/2013,Sophia Hinton,33,19473.2,22394.18,9891
01/02/2013,Taj Shand,33,25025.7,28779.56,13073.3
02/02/2013,Amy Trefl,9,5697,6551.55,2784.5
02/02/2013,Anthony Grosse,6,3833,4407.95,1125.5
02/02/2013,Archer Lamble,15,9914.2,11401.33,4661.1
02/02/2013,Hudson Hollinworth,27,19416.4,22328.86,7617.15
02/02/2013,Hudson Onslow,27,23569.2,27104.59,13242.4
02/02/2013,Jack Potter,11,26044,29950.6,10848
02/02/2013,Kayla Woodcock,4,3398.4,3908.16,1940.8
02/02/2013,Lily Code,12,2086,2398.91,953.5
02/02/2013,Taj Shand,4,838,963.7,439.2
04/02/2013,Amy Trefl,26,11456.5,13174.98,5640.25
04/02/2013,Anthony Grosse,18,13513.9,15540.99,6003.3
04/02/2013,Archer Lamble,20,15659.55,18008.48,9408.8
04/02/2013,Hudson Hollinworth,9,23332,26831.8,9475
04/02/2013,Hudson Onslow,25,28129.6,32349.04,12186.7
04/02/2013,Jack Potter,11,7353,8455.95,4013.5
04/02/2013,Kayla Woodcock,21,11677.9,13429.59,5764.7
04/02/2013,Lily Code,25,16506.5,18982.48,8181.25
04/02/2013,Sophia Hinton,26,11932.4,13722.26,4949.65
04/02/2013,Taj Shand,14,7998.2,9197.93,4683
05/02/2013,Amy Trefl,16,4776.25,5492.69,2286.75
05/02/2013,Anthony Grosse,7,13065,15024.75,6461.75
05/02/2013,Archer Lamble,8,6588,7576.2,3486
05/02/2013,Hudson Hollinworth,6,1113,1279.95,584.5
05/02/2013,Hudson Onslow,14,13886,15968.9,6837
05/02/2013,Jack Potter,18,5287.5,6080.63,2111.5
05/02/2013,Kayla Woodcock,14,6139.95,7060.95,3165.2
05/02/2013,Lily Code,21,22038.5,25344.28,10315
05/02/2013,Sophia Hinton,20,11361,13065.15,5375.5
05/02/2013,Taj Shand,9,1995.6,2294.94,825.6
06/02/2013,Amy Trefl,7,916,1053.4,495.5
06/02/2013,Anthony Grosse,16,12615,14507.25,6639.5
06/02/2013,Archer Lamble,18,4627,5321.05,1974.1
06/02/2013,Hudson Hollinworth,16,14881,17113.15,8290.5
06/02/2013,Hudson Onslow,9,8386.2,9644.13,4182.1
06/02/2013,Jack Potter,20,12862.25,14791.59,4265.75
06/02/2013,Kayla Woodcock,7,1184.8,1362.52,593.3
06/02/2013,Lily Code,26,19907.4,22893.51,10610.5
06/02/2013,Sophia Hinton,8,2627.1,3021.17,1384.8
06/02/2013,Taj Shand,9,1074.75,1235.96,643.85
07/02/2013,Amy Trefl,4,2405,2765.75,1436.5
07/02/2013,Anthony Grosse,32,21605,24845.75,12319
07/02/2013,Archer Lamble,9,2862.5,3291.88,1236.75
07/02/2013,Hudson Hollinworth,15,7999.6,9199.54,4000.7
07/02/2013,Hudson Onslow,10,12138.6,13959.39,5986.5
07/02/2013,Jack Potter,13,8565,9849.75,3386
07/02/2013,Kayla Woodcock,10,6653,7650.95,3446
07/02/2013,Lily Code,15,10775.8,12392.17,5772.2
07/02/2013,Sophia Hinton,4,2542,2923.3,877
07/02/2013,Taj Shand,7,5325.6,6124.44,2551.1
08/02/2013,Amy Trefl,17,6995.3,8044.6,3521
08/02/2013,Anthony Grosse,25,23370.8,26876.42,11304.75
08/02/2013,Archer Lamble,29,11842.2,13618.53,5279.9
08/02/2013,Hudson Hollinworth,7,6896.8,7931.32,3456.1
08/02/2013,Hudson Onslow,23,24946,28687.9,15098.75
08/02/2013,Jack Potter,13,8073.6,9284.65,4224.2
08/02/2013,Kayla Woodcock,9,3457.4,3976.01,1993.9
08/02/2013,Lily Code,17,11209.2,12890.58,5852.2
08/02/2013,Sophia Hinton,31,24318.4,27966.16,11559.4
08/02/2013,Taj Shand,27,33740.5,38801.59,16768.4
09/02/2013,Amy Trefl,14,7092.2,8156.04,3594.1
09/02/2013,Anthony Grosse,21,13016.85,14969.38,6030.6
09/02/2013,Archer Lamble,12,5536.4,6366.86,2791.5
09/02/2013,Hudson Hollinworth,18,8520.5,9798.58,4050
09/02/2013,Hudson Onslow,23,21148.4,24320.66,11481.6
09/02/2013,Jack Potter,24,27149.9,31222.39,13354.2
09/02/2013,Kayla Woodcock,9,1403.15,1613.62,826.2
09/02/2013,Lily Code,11,4341.5,4992.73,2439
09/02/2013,Sophia Hinton,18,19906.95,22893,11769.95
09/02/2013,Taj Shand,3,4016,4618.4,1732
11/02/2013,Amy Trefl,21,22738.4,26149.16,11140.3
11/02/2013,Anthony Grosse,27,17030.5,19585.08,8568.7
11/02/2013,Archer Lamble,18,11006,12656.9,5948.5
11/02/2013,Hudson Hollinworth,18,8220,9453,4516.5
11/02/2013,Hudson Onslow,16,19453.4,22371.41,12514.2
11/02/2013,Jack Potter,20,13872.2,15953.03,7820.4
11/02/2013,Kayla Woodcock,37,33050,38007.5,15594
11/02/2013,Lily Code,38,30141.2,34662.38,15384.7
11/02/2013,Sophia Hinton,15,19537,22467.55,9212
11/02/2013,Taj Shand,39,33450.8,38468.42,15806
12/02/2013,Amy Trefl,8,3047.2,3504.28,1606.9
12/02/2013,Anthony Grosse,15,8735.35,10045.66,2436.15
12/02/2013,Archer Lamble,5,8298,9542.7,3991
12/02/2013,Hudson Hollinworth,21,12226,14059.91,7528.25
12/02/2013,Hudson Onslow,15,6870.5,7901.08,3365
12/02/2013,Jack Potter,2,2029,2333.35,1069.5
12/02/2013,Kayla Woodcock,14,17170.3,19745.85,8890.1
12/02/2013,Lily Code,10,7850.1,9027.62,4435.3
12/02/2013,Taj Shand,13,9465.6,10885.44,5127.8
13/02/2013,Amy Trefl,16,5873.6,6754.64,2793.3
13/02/2013,Anthony Grosse,19,12071.2,13881.88,6570.2
13/02/2013,Archer Lamble,11,15305.5,17601.33,6825.5
13/02/2013,Hudson Hollinworth,15,7973.2,9169.18,2652.25
13/02/2013,Hudson Onslow,7,6405.2,7365.98,3362.4
13/02/2013,Jack Potter,9,4957,5700.55,2190
13/02/2013,Kayla Woodcock,4,2874.2,3305.34,1137.2
13/02/2013,Lily Code,12,4371.15,5026.82,2305.35
13/02/2013,Sophia Hinton,21,13780.5,15847.58,7258
13/02/2013,Taj Shand,7,2587,2975.05,1651.5
14/02/2013,Amy Trefl,10,5059.75,5818.71,3048.5
14/02/2013,Anthony Grosse,11,6293.3,7237.3,2912.4
14/02/2013,Archer Lamble,16,11989.4,13787.82,5765.3
14/02/2013,Hudson Hollinworth,14,3421,3934.15,1912.5
14/02/2013,Hudson Onslow,7,9784,11251.6,4739.5
14/02/2013,Jack Potter,19,21376.3,24582.75,13947.6
14/02/2013,Kayla Woodcock,30,14821.8,17045.07,6507.9
14/02/2013,Lily Code,12,12114,13931.1,6093.75
14/02/2013,Sophia Hinton,37,25474,29295.11,12698.4
14/02/2013,Taj Shand,25,18015.5,20717.83,9401.5
15/02/2013,Amy Trefl,11,4080,4692,2309.5
15/02/2013,Anthony Grosse,7,2790.6,3209.19,597.5
15/02/2013,Archer Lamble,5,2217,2549.55,1366.5
15/02/2013,Hudson Hollinworth,23,9777.6,11244.24,5098.2
15/02/2013,Hudson Onslow,11,4905.5,5641.34,1769
15/02/2013,Jack Potter,21,14488.2,16661.43,7586.1
15/02/2013,Kayla Woodcock,10,4582,5269.3,2615.5
15/02/2013,Lily Code,18,8828.25,10152.49,3739.75
15/02/2013,Sophia Hinton,13,8705,10010.75,4896.5
15/02/2013,Taj Shand,7,2746,3157.9,994.5
16/02/2013,Amy Trefl,17,8713.6,10020.65,4066.1
16/02/2013,Anthony Grosse,17,16562.15,19046.48,7916.1
16/02/2013,Archer Lamble,12,13158.8,15132.62,6941.6
16/02/2013,Hudson Hollinworth,18,19075.5,21936.83,12629.5
16/02/2013,Hudson Onslow,13,3745.75,4307.62,1970.75
16/02/2013,Jack Potter,11,8585,9872.75,3988.5
16/02/2013,Kayla Woodcock,16,3301.8,3797.07,1862.6
16/02/2013,Lily Code,7,5292.5,6086.38,2624
16/02/2013,Sophia Hinton,9,6496.5,7470.98,3333.5
16/02/2013,Taj Shand,23,12935.1,14875.37,7442.1
18/02/2013,Amy Trefl,15,22111,25427.65,9974
18/02/2013,Anthony Grosse,11,4661,5360.15,2439
18/02/2013,Archer Lamble,20,16299,18743.85,7811.5
18/02/2013,Hudson Hollinworth,10,13946,16037.9,7496
18/02/2013,Hudson Onslow,6,5886,6768.9,3150.5
18/02/2013,Jack Potter,17,23012.3,26464.15,10815.9
18/02/2013,Kayla Woodcock,24,23691.25,27244.94,11523.55
18/02/2013,Lily Code,18,8425.6,9689.44,4522
18/02/2013,Sophia Hinton,14,11296.85,12991.38,5752.85
18/02/2013,Taj Shand,24,15344.6,17646.29,7566
19/02/2013,Amy Trefl,26,45873.3,52754.3,24576.1
19/02/2013,Anthony Grosse,11,7923.5,9112.03,3622
19/02/2013,Archer Lamble,16,10226.7,11760.71,5604.9
19/02/2013,Hudson Hollinworth,13,4129.4,4748.81,1871.7
19/02/2013,Hudson Onslow,20,14802.7,17023.11,6846.2
19/02/2013,Jack Potter,20,13615.6,15657.94,6480.1
19/02/2013,Kayla Woodcock,23,28872.8,33203.72,13487.1
19/02/2013,Lily Code,5,1448,1665.2,754
19/02/2013,Sophia Hinton,32,26368.55,30323.83,9902.6
19/02/2013,Taj Shand,8,5703,6558.45,2818.5
20/02/2013,Amy Trefl,36,20271.1,23311.77,10741.35
20/02/2013,Anthony Grosse,7,5237,6022.55,2397
20/02/2013,Archer Lamble,13,3876,4457.4,2185.5
20/02/2013,Hudson Hollinworth,23,24488.8,28162.12,11723.6
20/02/2013,Hudson Onslow,18,29473,33893.95,15128
20/02/2013,Jack Potter,26,24055.5,27663.83,11000.5
20/02/2013,Kayla Woodcock,24,25242.85,29029.28,13004.65
20/02/2013,Lily Code,11,5742,6603.3,2907.25
20/02/2013,Sophia Hinton,15,14694.2,16898.33,8076.1
20/02/2013,Taj Shand,33,22772.6,26188.49,11587.95
21/02/2013,Amy Trefl,13,7678.4,8830.16,4195.4
21/02/2013,Anthony Grosse,13,5462.8,6282.22,2615.1
21/02/2013,Archer Lamble,15,8228.4,9462.66,3641.9
21/02/2013,Hudson Hollinworth,18,8386.8,9644.82,4563.3
21/02/2013,Hudson Onslow,9,6577.5,7564.13,3053.5
21/02/2013,Jack Potter,15,7592.2,8731.03,3022.2
21/02/2013,Kayla Woodcock,6,889,1022.35,558.5
21/02/2013,Lily Code,4,411,472.65,294.5
21/02/2013,Sophia Hinton,13,5853.85,6731.93,3262.7
